,Store,Category,Item Type,Name (on Website),Gender,Price
330,"American
Apparel",Clothes,Sweater,Men's Cable Knit Sweater,M,78.0
333,"American
Apparel",Clothes,Underwear,Cotton Spandex Jersey Boy Brief,F,13.0
334,"American
Apparel",Clothes,Underwear,Baby Rib Brief,M,14.0
335,"American Eagle
Outfitters",Clothes,Dress Shirt,Aeo Long Sleeve Oxford Shirt,F,39.95
336,"American Eagle
Outfitters",Clothes,Dress Shirt,Aeo Solid Poplin Button Down Shirt,M,39.95
337,"American Eagle
Outfitters",Clothes,Jeans,Aeo Denim X Kick Boot Jean,F,44.95
338,"American Eagle
Outfitters",Clothes,Jeans,Classic Bootcut Jean,M,39.95
339,"American Eagle
Outfitters",Clothes,Jeans,Straight Jean,F,44.95
340,"American Eagle
Outfitters",Clothes,Jeans,Original Straight Jean,M,44.95
341,"American Eagle
Outfitters",Clothes,Jeans,Skinny Jean,F,39.95
342,"American Eagle
Outfitters",Clothes,Jeans,Skinny Active Flex Jean,M,49.95
343,"American Eagle
Outfitters",Clothes,Shirt,Aeo Favorite V-Neck Tshirt,F,17.95
344,"American Eagle
Outfitters",Clothes,Shirt,Aeo Legend V-Neck Tshirt,M,15.95
345,"American Eagle
Outfitters",Clothes,Shirt,Aeo Favorite Pocket T-Shirt,F,17.95
346,"American Eagle
Outfitters",Clothes,Shirt,Aeo Legend Pocket T-Shirt,M,15.95
347,"American Eagle
Outfitters",Clothes,Socks,Aeo Shortie Socks 3-Pack,F,12.95
348,"American Eagle
Outfitters",Clothes,Socks,Aeo Low Cut Socks 3-Pack,M,12.5
349,"American Eagle
Outfitters",Clothes,Socks,Aeo Patterned Crew Socks,F,7.95
350,"American Eagle
Outfitters",Clothes,Socks,Aeo Patterned Crew Socks,M,6.5
351,"American Eagle
Outfitters",Clothes,Socks,Aeo No Show Socks 3-Pack,F,12.95
352,"American Eagle
Outfitters",Clothes,Socks,Aeo Invisible Socks 3-Pack,M,12.5
353,"American Eagle
Outfitters",Clothes,Underwear,Aerie Boybrief,F,7.5
354,"American Eagle
Outfitters",Clothes,Underwear,Aeo Classic Brief,M,12.5
355,"American Eagle
Outfitters",Clothes,Underwear,Aerie Signature Bikini,F,7.5
356,"American Eagle
Outfitters",Clothes,Underwear,Aeo Solid Low Rise Trunk,M,12.5
357,Banana Republic,Clothes,Dress Pants,Navy Lightweight Wool Boy-Fit Straight Leg,F,98.0
360,Banana Republic,Clothes,Dress Pants,Modern Slim Blue Wool Dress Pant,M,98.5
361,Banana Republic,Clothes,Dress Pants,"Martin-Fit Black Lightweight Wool Straight
Leg",F,98.0
362,Banana Republic,Clothes,Dress Pants,Classic Fit Solid Wool Trouser,M,98.5
363,Banana Republic,Clothes,Dress Shirt,Fitted Non-Iron Sateen Shirt,F,69.5
364,Banana Republic,Clothes,Dress Shirt,Classic-Fit Non-Iron Solid Shirt,M,79.5
365,Banana Republic,Clothes,Jeans,Medium Wash Skinny Jean,F,98.0
366,Banana Republic,Clothes,Jeans,Skinny Washed Indigo Jean,M,89.5
367,Banana Republic,Clothes,Shirt,New Essential Vee,F,24.5
368,Banana Republic,Clothes,Shirt,Soft-Wash Vee Tee,M,26.5
369,Banana Republic,Clothes,Shirt,New Essential Crew,F,24.5
370,Banana Republic,Clothes,Shirt,Soft-Wash Classic Crew,M,26.5
371,Banana Republic,Clothes,Socks,Glasses Bootie Sock,F,10.5
372,Banana Republic,Clothes,Socks,Performance Ankle Sock,M,12.5
373,Banana Republic,Clothes,Socks,Double-Stripe Tube Sock,F,12.5
374,Banana Republic,Clothes,Socks,Jungle Stripe Sock,M,12.5
375,Banana Republic,Clothes,Sweater,Cutout-Front Crew Pullover,F,89.5
376,Banana Republic,Clothes,Sweater,Ribbed Crew Pullover,M,79.5
377,Banana Republic,Clothes,Sweater,Ribbed Extra-Fine Merino Wool Pullover,F,69.5
378,Banana Republic,Clothes,Sweater,"Striped Extra-Fine Merino Wool Crew
Pullover",M,69.5
379,Club Monaco,Clothes,Dress Pants,Emily Pant,F,169.5
380,Club Monaco,Clothes,Dress Pants,Davis Dress Chino,M,98.5
381,Club Monaco,Clothes,Dress Pants,Lutecia Trouser,F,149.5
382,Club Monaco,Clothes,Dress Pants,Selvedge Chino,M,168.0
383,Club Monaco,Clothes,Dress Pants,Gaios Trouser,F,189.5
384,Club Monaco,Clothes,Dress Pants,Connor Mélange Dress Trouser,M,149.5
387,Club Monaco,Clothes,Dress Shirt,Claudia Cotton Shirt,F,149.5
388,Club Monaco,Clothes,Dress Shirt,Slim-Fit Oxford Dress Shirt,M,89.5
389,Club Monaco,Clothes,Dress Shirt,Susan Shirt,F,139.5
390,Club Monaco,Clothes,Dress Shirt,Classic-Fit Pinstriped Shirt,M,79.5
391,Club Monaco,Clothes,Sweater,Bronwen Cardigan,F,169.5
392,Club Monaco,Clothes,Sweater,Donegal Full Cardigan,M,159.5
393,Club Monaco,Clothes,Sweater,Casey Cable Sweater,F,159.5
394,Club Monaco,Clothes,Sweater,Donegal Crew Sweater,M,129.5
395,Gap,Clothes,Dress Pants,Pinstripe Modern Trouser,F,69.95
396,Gap,Clothes,Dress Pants,Herringbone Wool-Blend Pants (Slim Fit),M,69.95
397,Gap,Clothes,Dress Pants,Broken-In Straight Khakis,F,49.95
398,Gap,Clothes,Dress Pants,The Khaki (Straight Fit),M,59.95
399,Gap,Clothes,Dress Shirt,Tailored Shirt,F,49.95
400,Gap,Clothes,Dress Shirt,Solid Oxford Shirt (Slim Fit),M,49.95
401,Gap,Clothes,Dress Shirt,Shrunken Boyfriend Shirt,F,49.95
402,Gap,Clothes,Dress Shirt,Striped Modern Oxford Shirt,M,49.95
403,Gap,Clothes,Jeans,1969 Real Straight Jeans,F,69.95
404,Gap,Clothes,Jeans,1969 Straight Fit Jeans,M,59.95
405,Gap,Clothes,Jeans,1969 Resolution True Skinny High-Rise Jean,F,69.95
406,Gap,Clothes,Jeans,1969 Skinny Fit Jeans,M,69.95
407,Gap,Clothes,Jeans,1969 Perfect Boot Jeans,F,69.95
408,Gap,Clothes,Jeans,1969 Boot Fit Jeans,M,59.95
409,Gap,Clothes,Jeans,1969 Modern Stretch True Skinny Cords,F,59.95
410,Gap,Clothes,Jeans,1969 Black Fill Cords (Straight Fit),M,59.95
411,Gap,Clothes,Jeans,1969 Resolution Slim Straight Jeans,F,69.95
414,Gap,Clothes,Jeans,"1969 Skinny Fit Jeans (Soft Scrape Dark
Indigo Wash)",M,69.95
415,Gap,Clothes,Jeans,1969 Knit True Skinny Jeans,F,79.95
416,Gap,Clothes,Jeans,1969 Straight Fit Jeans (Resin Rinse),M,69.95
417,Gap,Clothes,Shirt,Favorite Short-Sleeve Crew Tee,F,16.95
418,Gap,Clothes,Shirt,Essential Solid Crew T-Shirt,M,16.5
419,Gap,Clothes,Shirt,Favorite Long-Sleeve V-Neck Tee,F,19.95
420,Gap,Clothes,Shirt,Essential Long-Sleeve Crewneck T-Shirt,M,19.95
421,Gap,Clothes,Shirt,Washed Lace Pullover,F,49.95
422,Gap,Clothes,Shirt,Lived-In Crew Sweatshirt,M,44.95
423,Gap,Clothes,Shirt,Flannel Plaid Relaxed Boyfriend Shirt,F,54.95
424,Gap,Clothes,Shirt,Herringbone Wythe Plaid Shirt,M,54.95
425,Gap,Clothes,Socks,Sport Socks (2 Pack),F,3.98
426,Gap,Clothes,Socks,Ankle Socks (3-Pack),M,4.0
427,Gap,Clothes,Socks,Trouser Socks,F,7.95
428,Gap,Clothes,Socks,Flat Knit Socks (3-Pack),M,6.0
429,Gap,Clothes,Socks,Polka Dot Crew Socks,F,7.95
430,Gap,Clothes,Socks,Motorcycle Socks,M,7.95
431,Gap,Clothes,Sweater,Stripe Open-Front Cardigan,F,69.95
432,Gap,Clothes,Sweater,Cotton Cashmere Shawl Cardigan,M,59.95
433,Gap,Clothes,Sweater,Mockneck Cable-Knit Sweater,F,69.95
434,Gap,Clothes,Sweater,Marled Chunky Cableknit Crew Sweater,M,64.95
435,Gap,Clothes,Underwear,Basic Boxer Briefs (3-Pack) If 1,M,9.98
436,Gap,Clothes,Underwear,Ultra Low Girl Shorts,F,14.5
437,Gap,Clothes,Underwear,Basic Briefs (3-Pack) If 1,M,8.31
438,Gap,Clothes,Underwear,Low-Rise Bikini,F,8.5
441,H&M,Clothes,Dress Pants,Slacks Tapered Fit,F,29.99
442,H&M,Clothes,Dress Pants,Chinos Slim Fit,M,29.99
443,H&M,Clothes,Dress Shirt,Cotton Shirt,F,24.99
444,H&M,Clothes,Dress Shirt,Premium Cotton Shirt,M,24.95
445,H&M,Clothes,Dress Shirt,Cotton Shirt,F,24.99
446,H&M,Clothes,Dress Shirt,Shirt In Premium Cotton,M,29.99
447,H&M,Clothes,Jeans,Boot Cut Low Jeans,F,39.99
448,H&M,Clothes,Jeans,Boot Cut Low Jeans,M,39.99
449,H&M,Clothes,Jeans,Skinny Regular Jeans,F,29.95
450,H&M,Clothes,Jeans,Jeans Skinny Fit,M,29.99
451,H&M,Clothes,Jeans,Jeans Straight Fit,F,49.99
452,H&M,Clothes,Jeans,Straight Regular Jeans,M,19.95
453,H&M,Clothes,Shirt,Jersey Tank Top,F,5.99
454,H&M,Clothes,Shirt,Tank Top,M,5.99
455,H&M,Clothes,Shirt,Jersey Top,F,9.99
456,H&M,Clothes,Shirt,T-Shirt,M,9.99
457,H&M,Clothes,Socks,5-Pack Ankle Socks,F,7.99
458,H&M,Clothes,Socks,4-Pack Ankle Socks,M,4.99
459,H&M,Clothes,Socks,5-Pack Socks,F,9.99
460,H&M,Clothes,Socks,5-Pack Socks,M,9.99
461,H&M,Clothes,Sweater,Rib-Knit Sweater,F,17.99
462,H&M,Clothes,Sweater,Fine-Knit Sweater,M,17.99
463,H&M,Clothes,Underwear,3-Pack Cotton Hipster Briefs,F,9.99
464,H&M,Clothes,Underwear,3-Pack Men's Briefs,M,17.95
465,H&M,Clothes,Underwear,3-Pack Cotton Boy Shorts,F,12.99
468,H&M,Clothes,Underwear,3-Pack Boxer Shorts,M,12.99
469,J.Crew,Clothes,Dress Pants,Campbell Trouser In Bi-Stretch Cotton,F,98.0
470,J.Crew,Clothes,Dress Pants,Bowery Slim Pant In Black Watch Cotton,M,88.0
471,J.Crew,Clothes,Dress Pants,"Campbell Trouser In Pinstripe Super 120S
Wool",F,148.0
472,J.Crew,Clothes,Dress Pants,Bowery Slim Pant In Wool,M,128.0
473,J.Crew,Clothes,Dress Shirt,Favorite Shirt,F,78.0
474,J.Crew,Clothes,Dress Shirt,Ludlow Spread-Collar Shirt,M,88.0
475,J.Crew,Clothes,Sweater,Merino Wool V-Neck Sweater,F,79.5
476,J.Crew,Clothes,Sweater,Merino Wool V-Neck Sweater,M,78.0
477,Kmart,Clothes,Dress Pants,Basic Editions Women's Trousers,F,21.99
478,Kmart,Clothes,Dress Pants,Basic Editions Men's Pleated Pant,M,18.99
479,Kmart,Clothes,Dress Pants,Attention Women's Slim Fit Dress Pants,F,26.99
480,Kmart,Clothes,Dress Pants,Attention Men's Stretch Dress Pants,M,26.99
481,Kmart,Clothes,Dress Shirt,"Basic Editions Women's Button-Front Shirt -
Striped",F,21.99
482,Kmart,Clothes,Dress Shirt,"Basic Editions Men's Long-Sleeve Dress
Shirt",M,13.98
483,Kmart,Clothes,Socks,"Joe Boxer Women's Socks 5Pk Super Soft
Quarter White Pink",F,6.99
484,Kmart,Clothes,Socks,"Joe Boxer Men's Low Cut Cushioned Socks
- 5 Pairs Sizes 10-13",M,6.99
485,Kmart,Clothes,Sweater,Basic Editions Women's Turtleneck Sweater,F,21.99
486,Kmart,Clothes,Sweater,"Basic Editions Men's Mock Neck Pullover
Sweater",M,34.99
487,Kmart,Clothes,Underwear,"Joe Boxer Women's 6-Pack Hipster Panties
- Solids & Prints (If 4)",F,6.66
488,Kmart,Clothes,Underwear,Joe Boxer Men's 4-Pairs Ringer Briefs,M,10.99
489,Kmart,Clothes,Underwear,"Joe Boxer Women's 2-Pairs Boy Short
Panties - Hearts",F,9.99
490,Kmart,Clothes,Underwear,Joe Boxer Men's Ringer Boxer Briefs 2 Pairs,M,8.99
491,Levi's,Clothes,Dress Pants,Boyfriend Chinos,F,54.5
492,Levi's,Clothes,Dress Pants,Chino Pants,M,58.0
495,Levi's,Clothes,Dress Shirt,Classic One Pocket Shirt,F,68.0
496,Levi's,Clothes,Dress Shirt,Sunset One Pocket Shirt,M,58.0
497,Levi's,Clothes,Dress Shirt,One Pocket Boyfriend Shirt,F,78.0
498,Levi's,Clothes,Dress Shirt,Classic One Pocket Shirt,M,48.0
499,Levi's,Clothes,Jeans,712 Slim Jeans,F,88.0
500,Levi's,Clothes,Jeans,511 Slim Fit Jeans,M,68.0
501,Levi's,Clothes,Jeans,715 Boot Cut Jeans,F,78.0
502,Levi's,Clothes,Jeans,517 Boot Cut Jeans,M,58.0
503,Levi's,Clothes,Jeans,714 Straight Jeans,F,78.0
504,Levi's,Clothes,Jeans,501 Original Fit Jeans,M,68.0
505,Levi's,Clothes,Jeans,721 High Rise Skinny Jeans,F,88.0
506,Levi's,Clothes,Jeans,510TM Skinny Fit Jeans,M,68.0
507,Levi's,Clothes,Jeans,501 Ct Jeans For Women,F,88.0
508,Levi's,Clothes,Jeans,501 Ct Jeans,M,78.0
509,Levi's,Clothes,Shirt,The Perfect Tee,F,28.0
510,Levi's,Clothes,Shirt,Levi's Housemark Tee,M,28.0
511,Levi's,Clothes,Shirt,The Perfect Pocket Tee,F,44.0
512,Levi's,Clothes,Shirt,Sunset Pocket Tee,M,28.0
513,Levi's,Clothes,Shirt,Levi's ® Commuter Raglan Tee,F,58.0
514,Levi's,Clothes,Shirt,Levi's® CommuterTM Drop Hem Tee,M,38.0
515,Levi's,Clothes,Sweater,Polka Dot Sweatshirt,F,64.0
516,Levi's,Clothes,Sweater,Levi's® Housemark Pullover Hoodie,M,48.0
517,Levi's,Clothes,Sweater,V-Neck Cardigan Sweater,F,98.0
518,Levi's,Clothes,Sweater,Brushed Crew Sweater,M,88.0
519,Old Navy,Clothes,Dress Pants,Skinny Khakis,F,24.94
522,Old Navy,Clothes,Dress Pants,Men's New Classic Straight-Leg Khakis,M,29.94
523,Old Navy,Clothes,Dress Shirt,Classic Oxford Shirt,F,24.94
524,Old Navy,Clothes,Dress Shirt,Classic Regular-Fit Shirt,M,29.94
525,Old Navy,Clothes,Jeans,Original Straight Jeans,F,29.94
526,Old Navy,Clothes,Jeans,Men's Straight-Fit Jeans,M,29.94
527,Old Navy,Clothes,Socks,Go-Dry Performance Socks 3-Packs,F,10.0
528,Old Navy,Clothes,Socks,Men's Go-Dry Running Sock 3-Pack,M,9.94
529,Old Navy,Clothes,Sweater,V-Neck Cardigan,F,24.94
530,Old Navy,Clothes,Sweater,Men's V-Neck Cardigans,M,32.94
531,Old Navy,Clothes,Sweater,Women's Striped Crew-Neck Sweater,F,39.94
532,Old Navy,Clothes,Sweater,Men's Striped Crew-Neck Sweaters,M,34.94
533,Old Navy,Clothes,Underwear,Jersey Bikini 3-Packs If 1,F,4.31
534,Old Navy,Clothes,Underwear,Men's Solid Trunks,M,9.94
535,Old Navy,Clothes,Underwear,Jersey Hipster 3-Packs,F,4.31
536,Old Navy,Clothes,Underwear,Men's Patterned Boxers,M,9.94
537,Target,Clothes,Dress Pants,"Women's Classic Ankle Pant Gazelle Brown
- MeronaTM",F,27.99
538,Target,Clothes,Dress Pants,Men's Slim Fit Chino Khaki - Mossimo,M,29.99
539,Target,Clothes,Dress Shirt,Women's Favorite Shirt Merona,F,22.99
540,Target,Clothes,Dress Shirt,Merona Men's Button Down Shirt,M,24.99
541,Target,Clothes,Jeans,"Mid-Rise Straight Leg Jeans (Modern Fit) -
Mossimo®",F,27.99
542,Target,Clothes,Jeans,"Men's Slim Straight Jeans - Mossimo Supply
Co",M,24.99
543,Target,Clothes,Socks,"Women's Casual Crew Socks 3 Pk Ebony
4-10 - MeronaTM",F,8.0
544,Target,Clothes,Socks,"Men's Stripe Socks Blue Melange -
MeronaTM 6-12 (3 Pack)",M,9.29
545,Target,Clothes,Sweater,Scoopneck Sweater - Mossimo Supply Co.,F,19.99
546,Target,Clothes,Sweater,"Men's Varsity Crew Sweater Mountain Red -
Mossimo Supply Co.",M,24.99
549,Target,Clothes,Underwear,"C9 Champion® Women's Seamless
Performance Sport Briefs 2-Pack (If 1)",F,7.0
550,Target,Clothes,Underwear,"C9 By Champion ® - Men's 3-Pack Briefs
Black/Grey (If 1)",M,7.99
551,Target,Clothes,Underwear,"Fruit Of The Loom Women's BeyondsoftTM
With Comfort Covered Waistband Boyshort
5-Pack - If 6",F,11.99
552,Target,Clothes,Underwear,"Fruit Of The Loom® - Men's 6Pk Briefs
Assorted Multi-Colored",M,13.99
553,Target,Clothes,Underwear,Women's Seamless Boyshort - Xhilaration®,F,5.0
554,Target,Clothes,Underwear,Men's Boxer Brief - Mossimo Supply Co.,M,5.99
555,Uniqlo,Clothes,Dress Pants,Women Idlf Straight Pants,F,59.9
556,Uniqlo,Clothes,Dress Pants,Men Stretch Wool Slim Fit Flat Front Pants,M,59.9
557,Uniqlo,Clothes,Dress Pants,Women Idlf Chino Pants,F,39.9
558,Uniqlo,Clothes,Dress Pants,"Men Vintage Regular Fit Chino Flat Front
Pants",M,39.9
559,Uniqlo,Clothes,Dress Shirt,"Women Supima Cotton Stretch Long Sleeve
Shirt",F,39.9
560,Uniqlo,Clothes,Dress Shirt,"Men Easy Care Stretch Slim Fit Broadcloth
Long Sleeve Shirt",M,39.9
561,Uniqlo,Clothes,Jeans,Women Heattech Skinny Fit Jeans,F,49.9
562,Uniqlo,Clothes,Jeans,Men Heattech Slim Fit Straight Jeans,M,49.9
563,Uniqlo,Clothes,Socks,Women Short Socks 3 Pairs (Dot Stripe),F,12.9
564,Uniqlo,Clothes,Socks,Men Pile Checked Short Socks,M,12.9
565,Uniqlo,Clothes,Sweater,"Women Extra Fine Merino Crew Neck
Sweater",F,29.9
566,Uniqlo,Clothes,Sweater,Men Extra Fine Merino Crew Neck Sweater,M,39.9
567,Uniqlo,Clothes,Sweater,Women Lambswool Crewneck Sweater,F,29.9
568,Uniqlo,Clothes,Sweater,Men Lambswool Crewneck Sweater,M,29.9
569,Uniqlo,Clothes,Sweater,"Women Cotton Cashmere Cable Crewneck
Sweater",F,39.9
570,Uniqlo,Clothes,Sweater,Men Cable Crewneck Sweater,M,39.9
571,Uniqlo,Clothes,Underwear,Women Bikini (Basic),F,6.45
572,Uniqlo,Clothes,Underwear,Men Supima Cotton Striped Briefs,M,6.45
575,Uniqlo,Clothes,Underwear,Women Boy Shorts,F,6.45
576,Uniqlo,Clothes,Underwear,Men Supima Cotton Striped Boxer Briefs,M,6.45
577,Urban Outfitters,Clothes,Dress Pants,Bdg Cole Chino Pant,F,59.0
578,Urban Outfitters,Clothes,Dress Pants,"Cpo Double Faced Melange Skinny
Chino Pant",M,59.0
579,Urban Outfitters,Clothes,Dress Shirt,Bdg Jessie Button-Down Shirt,F,59.0
580,Urban Outfitters,Clothes,Dress Shirt,Cpo Classic Oxford Button-Down Shirt,M,49.0
581,Urban Outfitters,Clothes,Shirt,Bdg Classic Heathered Crew Tee,F,34.0
582,Urban Outfitters,Clothes,Shirt,Bdg Galaxy Standard-Fit Crew Neck Tee,M,18.0
583,Urban Outfitters,Clothes,Shirt,Bdg Sally Pocket Tee,F,34.0
584,Urban Outfitters,Clothes,Shirt,Bdg Rolled Cap-Sleeve Standard-Fit Tee,M,18.0
585,Urban Outfitters,Clothes,Socks,Multicolor Pattern Crew Sock,F,14.0
586,Urban Outfitters,Clothes,Socks,Lightweight Fair Isle Crew Sock,M,8.0
587,Urban Outfitters,Clothes,Socks,Solid Thermal Stitch Boot Sock,F,14.0
588,Urban Outfitters,Clothes,Socks,Sweater Stripe Sock,M,12.0
589,Urban Outfitters,Clothes,Sweater,Bdg Parker Cardigan,F,59.0
590,Urban Outfitters,Clothes,Sweater,Bdg Lightweight Cardigan,M,44.0
591,Urban Outfitters,Clothes,Underwear,Blake Printed Boyshort,F,8.0
592,Urban Outfitters,Clothes,Underwear,Tonal Taped Trunk,M,12.0
593,Urban Outfitters,Clothes,Underwear,Taylor Dolphin Hipster,F,8.0
594,Urban Outfitters,Clothes,Underwear,Buffalo Plaid Boxer Brief,M,12.0
597,CVS,Beauty,Body Wash,"Purely Pampering Shea Butter with
Warm Vanilla Beauty Bar",F,9.49
598,CVS,Beauty,Body Wash,"Men+Care Aqua Impact Body and
Face Bar",M,9.49
599,CVS,Beauty,Body Wash,"Go Fresh Restore Body Wash, Blue
Fig & Orange Blossom Scent",F,8.99
600,CVS,Beauty,Body Wash,Men+Care Clean Comfort Body Wash,M,8.99
601,CVS,Beauty,Body Wash,"Touch of Serenity Moisturizing Body
Wash Hibiscus Blossom Scent & Aloe
Essence",F,4.0
602,CVS,Beauty,Body Wash,Nivea for Men Body Wash Energy,M,4.0
603,CVS,Beauty,Body Wash,"Creamy Cocoa Butter & Shea Butter
Moisturizing Body Wash",F,2.77
604,CVS,Beauty,Body Wash,Men's Sport Recharge Body Wash,M,2.77
605,CVS,Beauty,Deodorant,"Clinical Strength Antiperspirant,
Green Tea & Cucumber Scent",F,7.99
606,CVS,Beauty,Deodorant,"Clinical Strength Waterproof
Antiperspirant & Deodorant For Men,
Ultra Fresh Scent",M,7.99
607,CVS,Beauty,Deodorant,"Women Anti-Perspirant Deodorant
Invisible Solid Shower Clean",F,3.99
608,CVS,Beauty,Deodorant,"Men Ultra Dry Anti-Perspirant
Deodorant Invisible Stick Sport",M,3.79
609,CVS,Beauty,Deodorant,"Go Fresh Anti-Perspirant Deodorant
Ultimate Clear Cool Essentials",F,4.99
610,CVS,Beauty,Deodorant,"Men + Care Clean Comfort Powerful
Protection Antiperspirant",M,5.29
611,CVS,Beauty,Hair Care,"Professionals Moroccan Infusion
Shine Shampoo (& conditioner)",F,7.98
612,CVS,Beauty,Hair Care,"Professionals Men 2 In 1 Shampoo +
Conditioner",M,2.67
613,CVS,Beauty,Hair Care,Bed Head Resurrection Shampoo,F,18.99
614,CVS,Beauty,Hair Care,Bed Head Men Clean Up Shampoo,M,14.2
615,CVS,Beauty,Lotion,Healthy Skin Face Lotion Spf 15,F,15.99
616,CVS,Beauty,Lotion,Men Triple Protect Face Lotion Spf 20,M,10.28
617,CVS,Beauty,Lotion,"Smooth Sensation Body Lotion Shea
Butter & HYDRA IQ",F,6.49
618,CVS,Beauty,Lotion,"Men Maximum Hydration Body Lotion
3 in 1 Body Face & Hands",M,6.49
621,CVS,Beauty,Razor,"3 Blade Disposable Razors for
Women Lavender",F,5.29
622,CVS,Beauty,Razor,"3 Blade Disposable Razors for
Sensitive Skin",M,4.99
623,CVS,Beauty,Razor,Venus Embrace Razor,F,13.79
624,CVS,Beauty,Razor,Fusion Manual Razor,M,9.99
625,CVS,Beauty,Razor,Quattro For Women Razor,F,9.99
626,CVS,Beauty,Razor,Quattro Titanium Razor,M,10.99
627,CVS,Beauty,"Razor
Cartridges",5 Blade Women's Razor Cartridges,F,10.99
628,CVS,Beauty,"Razor
Cartridges",5 Blade Men's Razor Cartridges,M,9.99
629,CVS,Beauty,"Razor
Cartridges",Quattro For Women Cartridges,F,14.99
630,CVS,Beauty,"Razor
Cartridges",Quattro Titanium Cartridges,M,13.79
631,CVS,Beauty,"Shaving
Cream",Raspberry Shave Gel For Women,F,2.49
632,CVS,Beauty,"Shaving
Cream",Sensitive Skin Shave Gel for Men,M,2.49
633,CVS,Beauty,"Shaving
Cream",Advanced Gel Sensitive Skin,M,3.49
634,CVS,Beauty,"Shaving
Cream",Venus Shave Gel Olay Violet Swirl,F,3.29
635,CVS,Beauty,"Shaving
Cream","Fusion Hydragel Shave Gel
Moisturizing",M,4.59
636,CVS,Beauty,"Shaving
Cream","Signature Scents Shave Gel
Strawberry Tangerine Twist",F,3.79
637,Rite Aid,Beauty,Body Wash,"Nivea Body Wash, Moisturizing,
Touch of Serenity, 16.9 fl oz (500 ml)",F,6.99
638,Rite Aid,Beauty,Body Wash,"Nivea For Men Body Wash with
Menthol, Cool, 16.9 fl oz (500 ml)",M,5.49
639,Rite Aid,Beauty,Body Wash,"Naturals Body Wash, Ocean Breeze,
12 fl oz (354 ml)",F,2.79
640,Rite Aid,Beauty,Body Wash,"Men Body Wash, Refreshing, 12 fl oz
(354 ml)",M,2.79
641,Rite Aid,Beauty,Deodorant,"Anti-Perspirant & Deodorant, Invisible
Solid, Sheer Powder 2.6 oz (74 g)",F,3.89
642,Rite Aid,Beauty,Deodorant,"Degree Men Dry Protection Anti-
Perspirant & Deodorant, Sport, 2.7 oz
(76 g)",M,3.79
643,Rite Aid,Beauty,Deodorant,"Go Sleeveless Anti-Perspirant
Deodorant, Soothing Chamomile, 2.6
oz (74 g)",F,5.64
646,Rite Aid,Beauty,Deodorant,"Antiperspirant Deodorant, Fresh
Awake 2.7 oz (76 g)",M,5.49
647,Rite Aid,Beauty,Deodorant,"Anti-Perspirant & Deodorant for
Women, Clear Gel, Powder Fresh,
3.4 oz (96 g)",F,5.29
648,Rite Aid,Beauty,Deodorant,"Anti-Perspirant & Deodorant, Clear
Gel, Mountain Air, 3.4 oz (96 g)",M,5.29
649,Rite Aid,Beauty,Deodorant,"Lady Speed Stick Invisible Dry
Antiperspirant/Deodorant, Powder
Fresh, 2.3 oz (65 g)",F,4.69
650,Rite Aid,Beauty,Deodorant,"Speed Stick Power Antiperspirant
Deodorant, Unscented, 3 oz (85 g)",M,3.59
653,Rite Aid,Beauty,Hair Care,"Conditioner, Nourishing Daily, Strong",F,11.98
655,Rite Aid,Beauty,Hair Care,"Men Scalp Therapy Shampoo &
Conditioner, Daily, Anti-Dandruff,
Complete Care, 2 in 1, 12.9 fl oz
(381 ml)",M,5.99
656,Rite Aid,Beauty,Hair Care,"Damage Solutions Shampoo,
Intensive Repair, 12 fl oz (355 ml)",F,4.99
657,Rite Aid,Beauty,Hair Care,"Men + Care Shampoo, Fortifying,
Thickening, 12 fl oz (355 ml)",M,5.19
658,Rite Aid,Beauty,Lotion,"Intensive Rescue Lotion,
Hypoallergenic, Repairing Moisture,
Fragrance Free, 24.5 fl oz (725 ml)",F,7.79
659,Rite Aid,Beauty,Lotion,"Men Body & Face Lotion, Fast
Absorbing, 20.3 fl oz (600 ml)",M,9.4
660,Rite Aid,Beauty,Razor,"Soleil Shavers, Sensitive Skin, 3
Blades, 4 shavers",F,7.29
661,Rite Aid,Beauty,Razor,"Comfort 3 Shavers for Men, Sensitive
Skin, 4 shavers",M,4.69
662,Rite Aid,Beauty,Razor,"Renewal Razors, 5 Blade, for
Women, 3 razors",F,8.99
663,Rite Aid,Beauty,Razor,"Renewal Razors, Disposable,
5-Blade, for Men, 3 ea",M,8.49
664,Rite Aid,Beauty,Razor,"Renewal Razor, 5 Blade, for Women,
1 set",F,7.49
665,Rite Aid,Beauty,Razor,"Renewal Razor, 5 Blade, for Men,
with Trimmer, 1 set",M,7.49
666,Rite Aid,Beauty,"Razor
Cartridges","Venus Embrace Cartridges, 5 Blades,
Value Pack, 6 cartridges",F,26.99
667,Rite Aid,Beauty,"Razor
Cartridges",Fusion Cartridges 4 cartridges,M,27.73
668,Rite Aid,Beauty,"Razor
Cartridges","Renewal Cartridge Refills, 5 Blade, for
Women, 4 cartridges",F,8.99
669,Rite Aid,Beauty,"Razor
Cartridges","Renewal Cartridge Refills, 5 Blade, for
Men, with Trimmer, 4 cartridges",M,8.49
672,Rite Aid,Beauty,"Razor
Cartridges","Quattro Cartridges, 4 cartridges",M,12.49
673,Rite Aid,Beauty,"Razor
Cartridges","Hydro 5 Cartridges, Hydrating, Aloe &
Vitamin E, 4 cartridges",M,15.99
